spkid,e,a,q,i,full_name,Name,names
20091205,0.1348,39.54,34.207,10.58, 91205 (1998 US43),91205,
20091554,0.6987,103.1,31.062,25.49, 91554 (1999 RZ215),91554,
20095625,0.3723,52.71,33.084,13.95, 95625 (2002 GX32),95625,
20118228,0.1274,39.71,34.654,14.65,118228 (1996 TQ66),118228,
20118378,0.1095,43.51,38.747,5.06,118378 (1999 HT11),118378,
20118379,0.2337,45.07,34.532,15.39,118379 (1999 HC12),118379,
20118698,0.2355,43.78,33.471,11.22,118698 (2000 OY51),118698,
20118702,0.6046,99.49,39.345,23.35,118702 (2000 OM67),118702,
20119066,0.0779,43.5,40.117,6.75,119066 (2001 KJ76),119066,
20119067,0.1897,43.4,35.170,7.22,119067 (2001 KP76),119067,
20119068,0.3535,54.79,35.422,12.93,119068 (2001 KC77),119068,
20119069,0.2399,39.01,29.652,2.36,119069 (2001 KN77),119069,
20119070,0.1716,43.49,36.029,3.32,119070 (2001 KP77),119070,
20119473,0.2926,40.01,28.302,3.67,119473 (2001 UO18),119473,
20119878,0.3474,53.88,35.163,15.73,119878 (2002 CY224),119878,
20119951,0.0462,38.64,36.852,0.41,119951 (2002 KX14),119951,
20119956,0.1704,43.81,36.347,4.05,119956 (2002 PA149),119956,
20119979,0.2643,48.19,35.455,9.17,119979 (2002 WC19),119979,
20120132,0.2485,49.12,36.915,11.78,120132 (2003 FY128),120132,
20120178,0.1033,43.3,38.828,27.11,120178 (2003 OP32),120178,
20120181,0.1786,32.62,26.792,2.72,120181 (2003 UR292),120181,
20120216,0.3115,39.16,26.961,29.32,120216 (2004 EW95),120216,
20120347,0.1014,42.24,37.956,23.93,120347 Salacia (2004 SB60),120347,Salacia
20120348,0.0667,39.15,36.540,24.83,120348 (2004 TY364),120348,
20123509,0.0501,44.68,42.441,1.97,123509 (2000 WK183),123509,
20126154,0.1433,42.41,36.333,11.07,126154 (2001 YH140),126154,
20126155,0.2967,39.62,27.867,5.97,126155 (2001 YJ140),126155,
20126619,0.4656,70.93,37.903,15.99,126619 (2002 CX154),126619,
20126719,0.1881,46.78,37.984,0.84,126719 (2002 CC249),126719,
20127546,0.6843,66.41,20.967,77.95,127546 (2002 XU93),127546,
20127871,0.0866,34.82,31.802,2.37,127871 (2003 FC128),127871,
20129746,0.2643,39.06,28.734,1.48,129746 (1999 CE119),129746,
20129772,0.0297,43.44,42.150,3.31,129772 (1999 HR11),129772,
20130391,0.2764,47.18,34.134,23.50,130391 (2000 JG81),130391,
20131318,0.1717,39.14,32.418,13.71,131318 (2001 FL194),131318,
20131695,0.0550,37.28,35.229,4.26,131695 (2001 XS254),131695,
20131696,0.3239,53.05,35.865,0.52,131696 (2001 XT254),131696,
20131697,0.0741,34.95,32.359,2.85,131697 (2001 XH255),131697,
20133067,0.2568,39.36,29.249,8.90,133067 (2003 FB128),133067,
20134210,0.3980,62.6,37.685,6.48,134210 (2005 PQ21),134210,
20134340,0.2518,39.59,29.619,17.15,134340 Pluto (1930 BM),134340,Pluto
20134568,0.1531,43.96,37.226,10.20,134568 (1999 RH215),134568,
20134860,0.0174,43.01,42.266,1.11,134860 (2000 OJ67),134860,
20135024,0.1116,43.45,38.602,2.16,135024 (2001 KO76),135024,
20135182,0.0168,37.32,36.691,1.83,135182 (2001 QT322),135182,
20135571,0.3480,54.97,35.840,14.70,135571 (2002 GG32),135571,
20135742,0.1227,43.82,38.446,5.45,135742 (2002 PB171),135742,
20136108,0.1983,42.92,34.408,28.21,136108 Haumea (2003 EL61),136108,Haumea
20136120,0.4748,61.73,32.420,20.14,136120 (2003 LG7),136120,
20136199,0.4343,68.1,38.526,43.78,136199 Eris (2003 UB313),136199,Eris
20136472,0.1635,45.38,37.962,29.03,136472 Makemake (2005 FY9),136472,Makemake
20137294,0.1036,45.16,40.479,1.35,137294 (1999 RE215),137294,
20137295,0.2998,48.09,33.674,12.68,137295 (1999 RB216),137295,
20138537,0.1450,46.84,40.043,4.88,138537 (2000 OK67),138537,
20138628,0.2675,45.06,33.011,15.69,138628 (2000 QM251),138628,
20139775,0.1992,39.71,31.801,6.49,139775 (2001 QG298),139775,
20143685,0.2417,36.8,27.908,5.90,143685 (2003 SS317),143685,
20143707,0.4223,56.29,32.522,7.52,143707 (2003 UY117),143707,
20143751,0.2587,42.6,31.577,7.64,143751 (2003 US292),143751,
20143991,0.1402,44.87,38.574,19.35,143991 (2003 YO179),143991,
20144897,0.0395,39.29,37.741,9.53,144897 (2004 UX10),144897,
20145451,0.6202,92.49,35.131,28.70,145451 (2005 RM43),145451,
20145452,0.0269,41.68,40.564,19.24,145452 (2005 RN43),145452,
20145453,0.1426,43.56,37.347,28.44,145453 (2005 RR43),145453,
20145474,0.6503,94.62,33.090,16.27,145474 (2005 SA278),145474,
20145480,0.3948,76.38,46.227,26.44,145480 (2005 TB190),145480,
20148112,0.0375,44.23,42.573,0.79,148112 (1999 RA216),148112,
20148209,0.8053,226,44.010,22.74,148209 (2000 CR105),148209,
20148780,0.0580,44.55,41.972,5.20,148780 Altjira (2001 UQ18),148780,Altjira
20149348,0.1248,45.41,39.748,2.98,149348 (2002 VS130),149348,
20149349,0.2448,42.67,32.224,7.05,149349 (2002 VA131),149349,
20149560,0.4755,41.67,21.856,34.82,149560 (2003 QZ91),149560,
20150642,0.1174,45.12,39.822,10.21,150642 (2001 CZ31),150642,
20160091,0.1075,45.33,40.455,1.98,160091 (2000 OL67),160091,
20160147,0.0836,43.46,39.828,2.65,160147 (2001 KN76),160147,
20160148,0.5022,69,34.350,15.34,160148 (2001 KV76),160148,
20160256,0.0601,43.22,40.624,4.91,160256 (2002 PD149),160256,
20168700,0.2271,39.14,30.250,4.99,168700 (2000 GE147),168700,
20168703,0.0705,39.58,36.790,4.92,168703 (2000 GP183),168703,
20169071,0.1876,39.07,31.744,5.65,169071 (2001 FR185),169071,
20174567,0.1445,45.57,38.990,21.52,174567 Varda (2003 MW12),174567,Varda
20175113,0.0641,39.09,36.586,13.36,175113 (2004 PF115),175113,
20181708,0.0431,43.49,41.611,7.76,181708 (1993 FW),181708,
20181855,0.1892,46.37,37.595,28.63,181855 (1998 WT31),181855,
20181867,0.2925,52.86,37.397,5.47,181867 (1999 CV118),181867,
20181868,0.2896,49.46,35.138,16.67,181868 (1999 CG119),181868,
20181871,0.0879,43.7,39.856,0.80,181871 (1999 CO153),181871,
20181874,0.2556,52.41,39.016,17.24,181874 (1999 HW11),181874,
20181902,0.6988,125.2,37.715,25.87,181902 (1999 RD215),181902,
20182222,0.0976,43.92,39.628,6.10,182222 (2000 YU1),182222,
20182223,0.3880,59.06,36.143,19.84,182223 (2000 YC2),182223,
20182294,0.1579,44.74,37.678,10.67,182294 (2001 KU76),182294,
20182397,0.2312,51.79,39.811,17.04,182397 (2001 QW297),182397,
20182926,0.1431,45.56,39.042,2.20,182926 (2002 FU6),182926,
20182933,0.2366,50.15,38.282,1.05,182933 (2002 GZ31),182933,
20182934,0.1099,44.01,39.175,11.65,182934 (2002 GJ32),182934,
20183595,0.1059,44.85,40.099,1.65,183595 (2003 TG58),183595,
20183963,0.0980,44.17,39.843,2.44,183963 (2004 DJ64),183963,
20183964,0.3816,52.9,32.709,11.30,183964 (2004 DJ71),183964,
20184212,0.6787,110.1,35.386,15.42,184212 (2004 PB112),184212,
20184314,0.1354,44.87,38.797,5.78,184314 Mbabamwanawaresa (2005 EO302),184314,Mbabamwanawaresa
20202421,0.1429,43.62,37.387,25.71,202421 (2005 UQ513),202421,
20208996,0.1756,39.53,32.589,13.54,208996 (2003 AZ84),208996,
20225088,0.5007,67.01,33.462,30.78,225088 Gonggong (2007 OR10),225088,Gonggong
20229762,0.4953,74.53,37.615,23.35,229762 G!kun||'homdima (2007 UK126),229762,G!kun||'homdima
20230965,0.2524,47.44,35.464,38.11,230965 (2004 XA192),230965,
20241097,0.7755,40.15,9.014,15.67,241097 (2007 DU112),241097,
20275809,0.0798,43.94,40.432,1.55,275809 (2001 QY297),275809,
20278361,0.1554,47.72,40.303,12.09,278361 (2007 JJ43),278361,
20303712,0.1032,44.37,39.793,1.34,303712 (2005 PR21),303712,
20303775,0.6722,113.2,37.116,14.00,303775 (2005 QU182),303775,
20305543,0.4128,62.69,36.815,25.10,305543 (2008 QY40),305543,
20306792,0.1554,39.4,33.282,15.65,306792 (2001 KQ77),306792,
20307251,0.1997,46.45,37.174,9.79,307251 (2002 KW14),307251,
20307261,0.1484,41.66,35.476,17.71,307261 (2002 MS4),307261,
20307463,0.2078,39.38,31.195,1.36,307463 (2002 VU130),307463,
20307616,0.0796,44.09,40.579,10.34,307616 (2003 QW90),307616,
20307982,0.5983,90.8,36.474,16.26,307982 (2004 PG115),307982,
20308193,0.1401,43.29,37.227,28.61,308193 (2005 CB79),308193,
20308379,0.1993,48.17,38.573,9.98,308379 (2005 RS43),308379,
20308460,0.0717,35.09,32.578,1.52,308460 (2005 SC278),308460,
20308634,0.1070,43.42,38.777,7.86,308634 (2005 XU100),308634,
20308933,0.9740,933.2,24.239,19.44,308933 (2006 SQ372),308933,
20309239,0.2981,30.39,21.332,36.04,309239 (2007 RW10),309239,
20312645,0.3014,47.28,33.028,18.93,312645 (2010 EP65),312645,
20315530,0.1423,41.88,35.923,27.44,315530 (2008 AP129),315530,
20316179,0.3141,30.58,20.977,19.28,316179 (2010 EN65),316179,
20336756,0.9684,299.1,9.467,140.80,336756 (2010 NV1),336756,
20341520,0.2717,39.63,28.860,11.27,341520 Mors-Somnus (2007 TY430),341520,Mors-Somnus
20353222,0.8925,124.2,13.359,30.78,353222 (2009 YD7),353222,
20363330,0.0477,43.91,41.815,3.07,363330 (2002 PQ145),363330,
20363401,0.1277,45.35,39.562,2.30,363401 (2003 LB7),363401,
20364171,0.0755,44.44,41.083,3.56,364171 (2006 JZ81),364171,
20385185,0.2017,39.55,31.572,3.71,385185 (1993 RO),385185,
20385191,0.0206,41.57,40.712,12.72,385191 (1997 RT5),385191,
20385194,0.0517,43.51,41.263,0.79,385194 (1998 KG62),385194,
20385199,0.0502,45.54,43.258,2.15,385199 (1999 OE4),385199,
20385201,0.0666,43.47,40.571,12.41,385201 (1999 RN215),385201,
20385266,0.0960,42.81,38.702,1.80,385266 (2001 QB298),385266,
20385362,0.1457,46.46,39.689,3.70,385362 (2002 PT170),385362,
20385363,0.0678,45.03,41.978,3.93,385363 (2002 PW170),385363,
20385437,0.0749,43.91,40.616,1.10,385437 (2003 GH55),385437,
20385445,0.1465,39.51,33.718,3.67,385445 (2003 QH91),385445,
20385446,0.1166,43.98,38.851,2.66,385446 Manwe (2003 QW111),385446,Manwe
20385447,0.0306,43.98,42.629,4.46,385447 (2003 QF113),385447,
20385458,0.1749,46.34,38.234,5.08,385458 (2003 SP317),385458,
20385527,0.2472,43.98,33.111,3.46,385527 (2004 OK14),385527,
20385528,0.3394,56.37,37.241,6.93,385528 (2004 OR15),385528,
20385533,0.1116,43.15,38.340,23.87,385533 (2004 QD29),385533,
20385571,0.0335,30.37,29.347,1.43,385571 Otrera (2004 UP10),385571,Otrera
20385607,0.3442,62.62,41.062,25.04,385607 (2005 EO297),385607,
20385695,0.0565,30.35,28.638,5.25,385695 Clete (2005 TO74),385695,Clete
20386723,0.1362,44.62,38.546,29.09,386723 (2009 YE7),386723,
20408832,0.0420,44.3,42.436,2.15,408832 (2001 QJ298),408832,
20413666,0.6773,34.89,11.259,6.97,413666 (2005 VJ119),413666,
20415720,0.0733,43.39,40.212,7.72,415720 (1999 RU215),415720,
20416400,0.1394,44.59,38.376,27.38,416400 (2003 UZ117),416400,
20418993,0.9712,383.5,11.034,67.92,418993 (2009 MS9),418993,
20420356,0.0073,42.76,42.453,1.09,420356 Praamzius (2012 BX85),420356,Praamzius
20427581,0.0890,35,31.888,3.49,427581 (2003 QB92),427581,
20427614,0.0521,40.38,38.280,23.87,427614 (2003 SR422),427614,
20432949,0.1627,34.74,29.090,28.65,432949 (2012 HH2),432949,
20434194,0.0444,42.4,40.515,2.27,434194 (2003 FK127),434194,
20434390,0.3191,55.16,37.555,5.14,434390 (2005 CH81),434390,
20434709,0.2262,42.08,32.565,17.91,434709 (2006 CJ69),434709,
20437360,0.6816,114.6,36.478,31.12,437360 (2013 TV158),437360,
20437871,0.0682,42.29,39.404,21.78,437871 (2001 FN185),437871,
20437915,0.1421,44.27,37.982,6.60,437915 (2002 GD32),437915,
20438028,0.2774,39.2,28.323,3.14,438028 (2004 EH96),438028,
20439858,0.0432,42.81,40.963,3.19,439858 (1999 ON4),439858,
20443843,0.1151,46.19,40.869,10.66,443843 (2001 FO185),443843,
20444018,0.0409,43.92,42.120,2.83,444018 (2004 EU95),444018,
20444025,0.0469,43.74,41.686,3.32,444025 (2004 HJ79),444025,
20444030,0.1500,43.57,37.031,31.21,444030 (2004 NT33),444030,
20444745,0.1828,39.18,32.019,15.11,444745 (2007 JF43),444745,
20445473,0.7861,160.6,34.360,4.51,445473 (2010 VZ98),445473,
20450265,0.2602,39.43,29.168,4.15,450265 (2003 WU172),450265,
20451657,0.5171,77.79,37.571,23.66,451657 (2012 WD36),451657,
20455171,0.1168,46.12,40.731,2.09,455171 (1999 OM4),455171,
20455206,0.1245,46.45,40.666,2.82,455206 (2001 FE193),455206,
20455209,0.0853,44.85,41.027,1.71,455209 (2001 KT76),455209,
20455502,0.2184,39.48,30.861,12.04,455502 (2003 UZ413),455502,
20456826,0.2819,39.66,28.478,28.49,456826 (2007 TH422),456826,
20468422,0.0243,43.71,42.651,0.76,468422 (2000 FA8),468422,
20468861,0.9523,183.4,8.743,125.31,468861 (2013 LU28),468861,
20469306,0.1414,43.67,37.493,25.45,469306 (1999 CD158),469306,
20469333,0.3413,54.46,35.873,18.42,469333 (2000 PE30),469333,
20469361,0.1195,42.96,37.825,17.17,469361 (2001 HY65),469361,
20469362,0.2799,39.4,28.376,17.54,469362 (2001 KB77),469362,
20469372,0.1053,39.58,35.415,22.33,469372 (2001 QF298),469372,
20469420,0.2196,42.3,33.012,2.60,469420 (2001 XP254),469420,
20469421,0.1080,39.44,35.184,18.08,469421 (2001 XD255),469421,
20469438,0.0880,43.87,40.005,2.18,469438 (2002 GV31),469438,
20469442,0.5886,34.31,14.113,7.72,469442 (2002 GG166),469442,
20469505,0.2475,47.62,35.837,3.39,469505 (2003 FE128),469505,
20469506,0.2110,39.3,31.011,1.91,469506 (2003 FF128),469506,
20469509,0.0637,43.79,41.002,1.05,469509 (2003 HC57),469509,
20469514,0.0724,44.59,41.367,2.42,469514 (2003 QA91),469514,
20469584,0.1559,42.24,35.655,2.38,469584 (2003 YW179),469584,
20469610,0.0236,43.06,42.045,1.49,469610 (2004 HF79),469610,
20469615,0.0612,40.71,38.218,26.12,469615 (2004 PT107),469615,
20469704,0.1458,39.22,33.505,1.78,469704 (2005 EZ296),469704,
20469705,0.0871,43.9,40.075,2.87,469705 |=Kagara (2005 EF298),469705,|=Kagara
20469707,0.2323,39.22,30.111,14.71,469707 (2005 GB187),469707,
20469708,0.3222,39.16,26.545,18.27,469708 (2005 GE187),469708,
20469750,0.8407,183.7,29.266,6.16,469750 (2005 PU21),469750,
20469987,0.3015,39.27,27.433,12.48,469987 (2006 HJ123),469987,
20470027,0.1478,42.21,35.973,17.17,470027 (2006 RC103),470027,
20470083,0.3759,48.36,30.181,13.57,470083 (2006 SG369),470083,
20470308,0.0330,39.27,37.971,18.21,470308 (2007 JH43),470308,
20470309,0.4880,46.02,23.561,44.94,470309 (2007 JK43),470309,
20470316,0.2874,49.86,35.531,21.67,470316 (2007 OC10),470316,
20470443,0.0655,46.27,43.235,22.81,470443 (2007 XV50),470443,
20470523,0.1609,42.25,35.452,15.92,470523 (2008 CS190),470523,
20470593,0.6611,88.06,29.843,14.13,470593 (2008 LP17),470593,
20470596,0.1924,45.28,36.568,23.17,470596 (2008 NW4),470596,
20470599,0.4206,66.65,38.613,13.14,470599 (2008 OG19),470599,
20471137,0.3601,61.86,39.588,30.66,471137 (2010 ET65),471137,
20471143,0.5270,68.68,32.481,29.47,471143 Dziewanna (2010 EK139),471143,Dziewanna
20471150,0.0507,38.82,36.851,39.80,471150 (2010 FC49),471150,
20471151,0.4184,54.87,31.911,10.75,471151 (2010 FD49),471151,
20471152,0.3704,53.34,33.582,11.73,471152 (2010 FE49),471152,
20471155,0.3347,33.16,22.063,12.42,471155 (2010 GF65),471155,
20471165,0.1795,38.77,31.809,15.76,471165 (2010 HE79),471165,
20471172,0.4260,54.82,31.468,3.13,471172 (2010 JC80),471172,
20471196,0.0011,40.77,40.720,13.65,471196 (2010 PK66),471196,
20471210,0.2856,51.19,36.574,27.80,471210 (2010 VW11),471210,
20471272,0.7394,58.12,15.145,37.82,471272 (2011 FY9),471272,
20471288,0.0306,43.5,42.168,13.06,471288 (2011 GM27),471288,
20471318,0.1346,41.26,35.707,27.81,471318 (2011 JF31),471318,
20471325,0.3325,35.71,23.839,110.31,471325 (2011 KT19),471325,
20471921,0.0789,45.78,42.168,16.34,471921 (2013 FC28),471921,
20471954,0.1269,43.52,37.999,28.05,471954 (2013 RM98),471954,
20472231,0.0761,43.31,40.011,2.92,472231 (2014 FU71),472231,
20472232,0.0558,42.8,40.413,13.94,472232 (2014 FW71),472232,
20472235,0.4046,54.97,32.731,0.81,472235 Zhulong (2014 GE45),472235,Zhulong
20472262,0.2897,46.69,33.163,20.69,472262 (2014 QN441),472262,
20472271,0.1552,43.36,36.626,17.32,472271 (2014 UM33),472271,
20474640,0.8662,353.9,47.351,25.49,474640 Alicanto (2004 VN112),474640,Alicanto
20480017,0.4532,67.2,36.744,7.28,480017 (2014 QB442),480017,
20482824,0.2279,42.49,32.805,18.64,482824 (2013 XC26),482824,
20483002,0.0892,47.38,43.157,37.83,483002 (2014 QS441),483002,
20486958,0.0384,44.14,42.447,2.45,486958 Arrokoth (2014 MU69),486958,Arrokoth
20487581,0.0686,47.65,44.380,24.75,487581 (2015 BE519),487581,
20488644,0.0336,42.37,40.949,2.58,488644 (2003 HY56),488644,
20491767,0.0829,39.79,36.491,30.05,491767 (2012 VU113),491767,
20491768,0.1236,46.51,40.760,15.66,491768 (2012 VV113),491768,
20493480,0.0152,40.07,39.467,17.18,493480 (2014 YZ49),493480,
20495189,0.1756,48.12,39.669,19.27,495189 (2012 VR113),495189,
20495190,0.3172,55.75,38.067,26.77,495190 (2012 VS113),495190,
20495297,0.3219,53.58,36.334,4.80,495297 (2013 TJ159),495297,
20495603,0.2503,55.36,41.500,26.76,495603 (2015 AM281),495603,
20495613,0.1246,41.95,36.722,36.14,495613 (2015 FG345),495613,
20496315,0.7221,147.6,41.025,33.60,496315 (2013 GP136),496315,
20499514,0.1320,42.31,36.728,25.85,499514 (2010 OO127),499514,
20500828,0.0717,43.41,40.293,1.65,500828 (2013 GR136),500828,
20500829,0.1587,42.18,35.490,12.15,500829 (2013 GT136),500829,
20500830,0.1650,43.88,36.638,8.34,500830 (2013 GU136),500830,
20500831,0.0353,40.89,39.451,7.47,500831 (2013 GV136),500831,
20500832,0.6045,85.66,33.879,18.40,500832 (2013 GZ136),500832,
20500833,0.1001,39.17,35.246,6.96,500833 (2013 GD137),500833,
20500834,0.1833,39.01,31.859,9.91,500834 (2013 GK137),500834,
20500835,0.0625,43.86,41.120,2.77,500835 (2013 GN137),500835,
20500836,0.1298,45.44,39.540,2.85,500836 (2013 GQ137),500836,
20500837,0.1067,44.36,39.627,2.30,500837 (2013 GT137),500837,
20500838,0.0860,43.57,39.829,3.20,500838 (2013 GV137),500838,
20500839,0.0573,42.63,40.185,5.03,500839 (2013 GW137),500839,
20500840,0.0405,43.56,41.799,3.91,500840 (2013 GA138),500840,
20500856,0.0203,43.79,42.905,3.69,500856 (2013 HT156),500856,
20500876,0.4078,71.92,42.592,50.43,500876 (2013 JD64),500876,
20500877,0.2818,47.49,34.106,8.35,500877 (2013 JE64),500877,
20500878,0.1124,41.55,36.876,18.25,500878 (2013 JG64),500878,
20500879,0.3838,58.84,36.256,13.77,500879 (2013 JH64),500879,
20500880,0.0809,47.52,43.674,7.65,500880 (2013 JJ64),500880,
20500881,0.0443,42.15,40.286,7.29,500881 (2013 JM64),500881,
20500882,0.2831,52.7,37.777,7.74,500882 (2013 JN64),500882,
20500883,0.2571,39.21,29.128,19.86,500883 (2013 JJ65),500883,
20500884,0.2535,39.25,29.298,20.08,500884 (2013 JK65),500884,
